,type,country,activity,species,month,fatal,gender,year,age
352,Unprovoked,south africa,Surfing,Unspecified,Apr,N,M,2010.0,35.0
353,Unprovoked,egypt,Swimming / treading water,White,Apr,N,M,2010.0,24.0
354,Unprovoked,reunion,Surfing,Unspecified,Mar,N,M,2010.0,34.0
355,Unprovoked,australia,Snorkeling,Unspecified,Feb,N,F,2010.0,60.0
356,Unprovoked,australia,Surfing,Unspecified,Feb,N,M,2010.0,46.0
357,Unprovoked,australia,Body boarding,White,Feb,N,M,2010.0,18.0
358,Invalid,guam,Spearfishing (free diving),Unspecified,Feb,,M,2010.0,31.0
359,Provoked,new zealand,Boogie Boarding,Unspecified,Feb,N,F,2010.0,14.0
360,Unprovoked,south africa,Standing,White,Jan,Y,M,2010.0,37.0
361,Unprovoked,mozambique,Swimming,Unspecified,Dec,N,M,2009.0,27.0
362,Unprovoked,australia,Spearfishing,Bull,Dec,N,M,2009.0,18.0
363,Provoked,usa,Diving,Tiger,Dec,N,M,2009.0,58.0
364,Invalid,usa,Surfing,Unspecified,Nov,,M,2009.0,49.0
365,Unprovoked,usa,Wading,Unspecified,Nov,N,M,2009.0,10.0
366,Unprovoked,usa,Fishing,Unspecified,Nov,N,M,2009.0,31.0
367,Unprovoked,usa,Surfing,Unspecified,Nov,N,M,2009.0,18.0
368,Unprovoked,australia,Kayaking,Unspecified,Nov,N,M,2009.0,25.0
369,Boating,australia,Kayaking,White,Oct,N,M,2009.0,27.0
370,Unprovoked,usa,Surfing,Unspecified,Oct,N,M,2009.0,54.0
371,Provoked,scotland,Diving,Unspecified,Oct,N,M,2009.0,23.0
372,Provoked,united kingdom,Fishing,Unspecified,Oct,N,M,2009.0,39.0
373,Invalid,usa,Swimming,Unspecified,Sep,Y,M,2009.0,60.0
374,Unprovoked,south africa,Surfing,White,Aug,Y,M,2009.0,25.0
375,Unprovoked,usa,Swimming,White,Aug,N,F,2009.0,22.0
376,Unprovoked,usa,Wade Fishing,Bull,Aug,N,M,2009.0,56.0
377,Provoked,usa,Swimming,Unspecified,Jul,N,F,2009.0,43.0
378,Unprovoked,australia,Surfing,Unspecified,Jun,N,M,2009.0,52.0
379,Invalid,usa,Crawling,Unspecified,Jun,,M,2009.0,14.0
380,Unprovoked,egypt,Snorkeling,White,Jun,Y,F,2009.0,50.0
381,Provoked,taiwan,Fishing,Unspecified,May,N,M,2009.0,46.0
382,Unprovoked,usa,Surfing,Unspecified,May,N,M,2009.0,31.0
383,Unprovoked,usa,Surfing,Unspecified,May,N,M,2009.0,49.0
384,Unprovoked,usa,Surfing,Unspecified,May,N,M,2009.0,55.0
385,Provoked,guam,Spearfishing,Unspecified,May,N,M,2009.0,27.0
386,Unprovoked,usa,Surfing,Unspecified,Apr,N,M,2009.0,31.0
387,Unprovoked,australia,Surf skiing ,Unspecified,Apr,N,M,2009.0,40.0
388,Invalid,south africa,Swimming,Unspecified,Apr,,M,2009.0,24.0
389,Unprovoked,australia,Surfing,Unspecified,Mar,N,M,2009.0,17.0
390,Unprovoked,usa,Surfing,Unspecified,Mar,N,F,2009.0,17.0
391,Unprovoked,usa,Swimming,Unspecified,Mar,N,M,2009.0,61.0
392,Provoked,south africa,Fishing,Unspecified,Mar,N,M,2009.0,40.0
393,Unprovoked,australia,Surfing,Unspecified,Mar,N,M,2009.0,15.0
394,Unprovoked,australia,Surfing,White,Feb,N,M,2009.0,33.0
395,Unprovoked,australia,"Diving, but on the surface when bitten by the shark",Bull,Feb,N,M,2009.0,31.0
396,Unprovoked,australia,Surfing,White,Feb,N,M,2009.0,41.0
397,Unprovoked,cuba,Spearfishing,Bull,Jan,N,M,2009.0,15.0
398,Unprovoked,south africa,Swimming,Tiger,Jan,Y,M,2009.0,25.0
399,Unprovoked,australia,Snorkeling,Unspecified,Jan,N,M,2009.0,24.0
400,Unprovoked,australia,Surfing,White,Jan,N,F,2009.0,13.0
401,Unprovoked,australia,Surfing,White,Jan,N,M,2009.0,31.0
402,Unprovoked,new zealand,Swimming,Unspecified,Jan,N,M,2009.0,49.0
403,Boating,australia,Kayaking,White,Dec,N,M,2008.0,29.0
404,Unprovoked,australia,Snorkeling,White,Dec,Y,M,2008.0,51.0
405,Provoked,south africa,Fishing,Unspecified,Dec,N,M,2008.0,15.0
406,Provoked,australia,Scuba diving,Grey,Oct,N,M,2008.0,34.0
407,Unprovoked,croatia,Spearfishing,White,Oct,N,M,2008.0,43.0
408,Unprovoked,usa,Surfing,Unspecified,Sep,N,M,2008.0,40.0
409,Provoked,australia,Swimming,Unspecified,Sep,N,M,2008.0,43.0
410,Unprovoked,usa,Surfing,Tiger,Sep,N,M,2008.0,40.0
411,Unprovoked,australia,Surfing,Unspecified,Sep,N,M,2008.0,51.0
412,Unprovoked,usa,Surfing,Unspecified,Sep,N,M,2008.0,52.0
413,Invalid,usa,Swimming,Unspecified,Aug,,M,2008.0,27.0
414,Unprovoked,usa,Surfing,Unspecified,Aug,N,M,2008.0,26.0
415,Invalid,usa,Surfing,Unspecified,Aug,,F,2008.0,20.0
416,Unprovoked,usa,Treading water,Bull,Aug,N,F,2008.0,38.0
417,Unprovoked,australia,Surfing,White,Jul,N,M,2008.0,31.0
418,Unprovoked,usa,Wading,Unspecified,Jul,N,F,2008.0,8.0
419,Unprovoked,usa,Wading,Unspecified,Jul,N,M,2008.0,16.0
420,Invalid,usa,Wading,Unspecified,Jun,,M,2008.0,53.0
421,Unprovoked,south africa,Surf skiing ,White,Jun,N,M,2008.0,46.0
422,Unprovoked,usa,Swimming,Unspecified,Jun,N,M,2008.0,37.0
423,Boating,usa,Kayaking,White,Jun,N,F,2008.0,40.0
424,Unprovoked,usa,Body surfing,Unspecified,Jun,N,F,2008.0,15.0
425,Unprovoked,brazil,Swimming,Bull,Jun,N,M,2008.0,14.0
426,Unprovoked,mexico,Surfing,Unspecified,May,N,M,2008.0,49.0
427,Unprovoked,australia,Swimming,White,May,N,M,2008.0,37.0
428,Unprovoked,new caledonia,Fishing,Bull,May,N,M,2008.0,40.0
429,Unprovoked,mexico,Surfing,Tiger,Apr,Y,M,2008.0,24.0
430,Unprovoked,usa,Surfing,Unspecified,Apr,N,M,2008.0,18.0
431,Unprovoked,new caledonia,Swimming,Bull,Apr,N,M,2008.0,32.0
432,Unprovoked,usa,Swimming,White,Apr,Y,M,2008.0,25.0
433,Invalid,mexico,Swimming,Unspecified,Apr,,M,2008.0,32.0
434,Invalid,australia,Surfing,Unspecified,Apr,,M,2008.0,19.0
435,Unprovoked,usa,Surfing,Unspecified,Apr,N,M,2008.0,30.0
436,Unprovoked,australia,Body boarding,Bull,Apr,Y,M,2008.0,16.0
437,Unprovoked,usa,Surfing,Unspecified,Mar,N,M,2008.0,52.0
438,Unprovoked,usa,Walking out of the water after surfing,Unspecified,Mar,N,M,2008.0,13.0
439,Unprovoked,usa,Jet skiing,Unspecified,Mar,N,M,2008.0,8.0
440,Unprovoked,usa,Surfing,White,Mar,N,M,2008.0,27.0
441,Unprovoked,bahamas,Diving,Bull,Feb,Y,M,2008.0,49.0
442,Provoked,australia,Accidentally stood on hooked shark's tail before attempting to gut it ,Unspecified,Jan,N,M,2008.0,20.0
443,Unprovoked,australia,Surfing,Unspecified,Dec,N,M,2007.0,31.0
444,Invalid,australia,Swimming,Unspecified,Dec,,M,2007.0,34.0
445,Unprovoked,usa,Surfing,Tiger,Dec,N,M,2007.0,52.0
446,Unprovoked,south africa,Surfing,Unspecified,Nov,N,M,2007.0,14.0
447,Unprovoked,usa,Surfing,Unspecified,Nov,N,M,2007.0,21.0
448,Unprovoked,usa,Surfing,Unspecified,Nov,N,M,2007.0,42.0
449,Unprovoked,south africa,Surfing,White,Nov,N,M,2007.0,37.0
450,Unprovoked,usa,Floating,Tiger,Oct,N,M,2007.0,32.0
451,Unprovoked,australia,Surf-skiing,White,Oct,N,F,2007.0,52.0
452,Unprovoked,australia,Spearfishing,Unspecified,Oct,N,M,2007.0,31.0
453,Unprovoked,usa,Surfing,Unspecified,Oct,N,M,2007.0,22.0
454,Unprovoked,usa,Surfing,Unspecified,Oct,N,M,2007.0,16.0
455,Unprovoked,new caledonia,Swimming,Tiger,Sep,Y,F,2007.0,23.0
456,Unprovoked,bahamas,Spearfishing,Unspecified,Sep,N,F,2007.0,48.0
457,Unprovoked,egypt,Swimming,White,Sep,N,F,2007.0,18.0
458,Unprovoked,usa,Surfing,Unspecified,Sep,N,M,2007.0,23.0
459,Unprovoked,usa,Surfing,Unspecified,Sep,N,F,2007.0,27.87309980171844
460,Unprovoked,usa,Snorkeling,Unspecified,Sep,N,M,2007.0,14.0
461,Unprovoked,usa,Jumping,Unspecified,Sep,N,F,2007.0,12.0
462,Unprovoked,usa,Swimming,Unspecified,Sep,N,M,2007.0,58.0
463,Unprovoked,usa,Body boarding,Tiger,Aug,N,M,2007.0,15.0
464,Unprovoked,usa,Surfing,White,Aug,N,M,2007.0,24.0
465,Unprovoked,usa,Surfing,Unspecified,Aug,N,M,2007.0,54.0
466,Unprovoked,usa,Surfing,Unspecified,Aug,N,M,2007.0,27.0
467,Unprovoked,usa,Surfing,Unspecified,Aug,N,M,2007.0,16.0
468,Unprovoked,usa,Floating near boat & observing bioluminesce,Bull,Aug,N,M,2007.0,20.0
469,Unprovoked,usa,Swimming,Unspecified,Aug,N,F,2007.0,15.0
470,Unprovoked,usa,Jumped into the water,Bull,Aug,N,F,2007.0,19.0
471,Unprovoked,usa,Snorkeling,Unspecified,Jul,N,M,2007.0,36.0
472,Unprovoked,australia,Wading,Unspecified,Jul,N,M,2007.0,15.0
473,Unprovoked,usa,Swimming,Unspecified,Jul,N,M,2007.0,14.0
474,Invalid,usa,Swimming,Unspecified,Jul,,F,2007.0,43.0
475,Unprovoked,usa,Wading,Unspecified,Jul,N,F,2007.0,30.0
476,Unprovoked,bahamas,Spearfishing,Bull,Jul,N,F,2007.0,48.0
477,Unprovoked,usa,Surfing,Unspecified,Jun,N,M,2007.0,20.0
478,Invalid,usa,Surfing,Unspecified,Jun,,F,2007.0,9.0
479,Provoked,usa,Reviving a sedated shark,Unspecified,May,N,F,2007.0,40.0
480,Provoked,england,Fishing,Unspecified,May,N,M,2007.0,38.0
481,Unprovoked,australia,Wading,Unspecified,May,N,F,2007.0,38.0
482,Unprovoked,australia,Surfing,Unspecified,May,N,M,2007.0,19.0
483,Unprovoked,usa,Surfing,Unspecified,May,N,F,2007.0,21.0
484,Invalid,australia,Swimming,Unspecified,May,,M,2007.0,45.0
485,Unprovoked,usa,Snorkeling,Tiger,May,N,F,2007.0,63.0
486,Unprovoked,usa,Swimming,Unspecified,May,N,M,2007.0,25.0
487,Unprovoked,australia,Swimming / jumping off a jetty,Unspecified,Apr,N,F,2007.0,13.0
488,Unprovoked,usa,Body boarding,Unspecified,Apr,N,M,2007.0,12.0
489,Unprovoked,usa,Surfing,Unspecified,Apr,N,M,2007.0,24.0
490,Unprovoked,new caledonia,Surfing,Tiger,Apr,N,M,2007.0,26.0
491,Unprovoked,usa,Surfing,Unspecified,Mar,N,M,2007.0,27.0
492,Unprovoked,usa,Surfing,Unspecified,Mar,N,M,2007.0,11.0
493,Unprovoked,australia,Surfing,Unspecified,Mar,N,F,2007.0,42.0
494,Unprovoked,australia,Swimming,Unspecified,Mar,N,F,2007.0,59.0
495,Unprovoked,new caledonia,Spearfishing (free diving),Tiger,Jan,N,M,2007.0,30.0
496,Unprovoked,australia,Diving,White,Jan,N,M,2007.0,41.0
497,Unprovoked,south africa,Swimming / Body Surfing,Tiger,Jan,Y,M,2007.0,24.0
498,Invalid,usa,Surfing,Unspecified,Jan,,M,2007.0,54.0
499,Unprovoked,usa,Surfing,Tiger,Jan,N,M,2007.0,24.0
500,Unprovoked,australia,Surfing,Unspecified,Dec,N,M,2006.0,25.0
501,Unprovoked,new zealand,Surfing,Unspecified,Dec,N,M,2006.0,10.0
502,Unprovoked,usa,Surfing,White,Dec,N,M,2006.0,43.0
503,Provoked,south africa,Fishing,Unspecified,Dec,N,M,2006.0,25.0
504,Unprovoked,australia,Body boarding,White,Dec,N,M,2006.0,15.0
505,Unprovoked,usa,Swimming,Unspecified,Nov,N,M,2006.0,29.0
506,Unprovoked,usa,Surfing,White,Oct,N,M,2006.0,22.0
507,Unprovoked,usa,Playing soccer in the water,Unspecified,Oct,N,M,2006.0,18.0
508,Unprovoked,usa,Swimming,Unspecified,Sep,N,M,2006.0,55.0
509,Invalid,australia,Diving,Unspecified,Sep,,M,2006.0,44.0
510,Unprovoked,usa,Standing,Unspecified,Sep,N,M,2006.0,33.0
511,Unprovoked,south africa,Lifesaving drill,White,Aug,N,M,2006.0,24.0
512,Unprovoked,usa,Surfing,White,Jul,N,M,2006.0,41.0
513,Unprovoked,south africa,Surf-skiing,White,Jul,N,M,2006.0,19.0
514,Unprovoked,usa,Surfing,Unspecified,Jul,N,M,2006.0,14.0
515,Unprovoked,usa,Standing,Unspecified,Jul,N,M,2006.0,49.0
516,Unprovoked,usa,Body boarding,Bull,Jul,N,F,2006.0,14.0
517,Unprovoked,usa,Surfing,Unspecified,Jun,N,F,2006.0,22.0
518,Unprovoked,usa,Surfing,Unspecified,Jun,N,M,2006.0,24.0
519,Unprovoked,usa,Playing,Unspecified,Jun,N,F,2006.0,7.0
520,Unprovoked,australia,Surfing,White,Jun,N,M,2006.0,40.0
521,Unprovoked,usa,Spearfishing,Tiger,May,N,M,2006.0,26.0
522,Provoked,usa,Spearfishing,Grey,May,N,M,2006.0,15.0
523,Unprovoked,usa,Scuba diving,Tiger,May,N,F,2006.0,30.0
524,Provoked,australia,Snorkeling,Unspecified,May,N,M,2006.0,46.0
525,Provoked,usa,Fishing,Bull,Apr,N,M,2006.0,35.0
526,Unprovoked,australia,Surfing,Unspecified,Apr,N,M,2006.0,15.0
527,Unprovoked,south africa,Body boarding,Unspecified,Apr,N,M,2006.0,15.0
528,Unprovoked,brazil,Swimming,Tiger,Apr,N,M,2006.0,35.0
529,Unprovoked,usa,Surfing,Tiger,Mar,N,F,2006.0,28.0
530,Unprovoked,fiji,Surfing,Tiger,Mar,N,M,2006.0,21.0
531,Unprovoked,australia,Surfing,Unspecified,Mar,N,M,2006.0,15.0
532,Unprovoked,usa,Standing,Unspecified,Feb,N,F,2006.0,15.0
533,Invalid,usa,Free diving,Unspecified,Feb,,M,2006.0,45.0
534,Unprovoked,south africa,Surfing,Unspecified,Feb,N,M,2006.0,15.0
535,Unprovoked,tonga,Swimming,Tiger,Feb,Y,F,2006.0,24.0
536,Boating,usa,Kayaking,Unspecified,Feb,N,M,2006.0,57.0
537,Unprovoked,australia,Scuba diving,White,Jan,N,M,2006.0,52.0
538,Unprovoked,australia,Swimming,Bull,Jan,Y,F,2006.0,21.0
539,Unprovoked,usa,Surfing,Unspecified,Jan,N,M,2006.0,21.0
540,Unprovoked,usa,Surfing,White,Dec,N,M,2005.0,30.0
541,Unprovoked,usa,Swimming,Tiger,Dec,N,M,2005.0,29.0
542,Unprovoked,australia,Spearfishing,White,Dec,N,M,2005.0,44.0
543,Unprovoked,usa,Surfing,Unspecified,Nov,N,M,2005.0,23.0
544,Unprovoked,australia,Surfing,Unspecified,Nov,N,M,2005.0,18.0
545,Unprovoked,usa,Surfing,Unspecified,Nov,N,M,2005.0,30.0
546,Provoked,south africa,Fishing for sharks,Unspecified,Nov,N,M,2005.0,32.0
547,Unprovoked,usa,Surfing,Unspecified,Nov,N,M,2005.0,18.0
548,Unprovoked,usa,Surfing,White,Nov,N,M,2005.0,26.0
549,Unprovoked,st. maartin,Standing,Unspecified,Oct,N,M,2005.0,55.0
550,Unprovoked,south africa,Standing / Surfing,Unspecified,Oct,N,M,2005.0,20.0
551,Unprovoked,usa,Surfing,White,Oct,N,M,2005.0,36.0
552,Unprovoked,usa,Surfing,White,Oct,N,F,2005.0,20.0
553,Unprovoked,usa,Surfing,Tiger,Oct,N,M,2005.0,22.0
554,Unprovoked,grand cayman,Scuba diving,Unspecified,Oct,N,F,2005.0,57.0
555,Unprovoked,south africa,Surf-skiing,White,Oct,N,M,2005.0,52.0
556,Unprovoked,australia,Surfing,White,Sep,N,M,2005.0,26.0
557,Unprovoked,australia,Surfing,Unspecified,Sep,N,M,2005.0,44.0
558,Unprovoked,usa,Body surfing,Unspecified,Sep,N,F,2005.0,25.0
559,Unprovoked,usa,Wading,Bull,Sep,N,F,2005.0,18.0
560,Unprovoked,australia,Surfing,White,Sep,N,M,2005.0,40.0
561,Unprovoked,australia,Scuba diving,White,Aug,Y,M,2005.0,23.0
562,Unprovoked,usa,Surfing,White,Aug,N,M,2005.0,37.0
563,Invalid,usa,"Boogie boarding, kicked at object in the water",Unspecified,Aug,,M,2005.0,17.0
564,Unprovoked,usa,Swimming,Unspecified,Aug,N,M,2005.0,8.0
565,Unprovoked,usa,Surfing,Unspecified,Aug,N,M,2005.0,16.0
566,Invalid,usa,Surfing,Unspecified,Jul,,M,2005.0,25.0
567,Unprovoked,usa,Swimming,Unspecified,Jul,N,M,2005.0,22.0
568,Unprovoked,usa,Holding onto an inflatable boat,Unspecified,Jul,N,F,2005.0,14.0
569,Unprovoked,usa,Fishing,Bull,Jun,N,M,2005.0,16.0
570,Unprovoked,usa,Swimming with boogie board,Bull,Jun,Y,F,2005.0,14.0
571,Unprovoked,vanuatu,Swimming,Unspecified,Jun,Y,F,2005.0,7.0
572,Invalid,usa,Swimming,Unspecified,Jun,,M,2005.0,49.0
573,Unprovoked,usa,Swimming,Unspecified,Jun,N,M,2005.0,20.0
574,Invalid,usa,Surfing,White,Jun,,M,2005.0,17.0
575,Unprovoked,south africa,Spearfishing (Free diving),White,Jun,Y,M,2005.0,22.0
576,Unprovoked,usa,Swimming,Unspecified,May,N,M,2005.0,33.0
577,Unprovoked,south africa,Surfing,Unspecified,May,N,M,2005.0,32.0
578,Unprovoked,usa,Surfing,Tiger,May,N,M,2005.0,47.0
579,Provoked,australia,Fishing,Unspecified,Apr,N,M,2005.0,25.0
580,Unprovoked,australia,Surfing,Unspecified,Apr,N,M,2005.0,40.0
581,Unprovoked,south africa,Surfing,Unspecified,Mar,N,M,2005.0,32.0
582,Unprovoked,australia,Snorkeling,White,Mar,Y,M,2005.0,26.0
583,Provoked,usa,Diving in aquarium display tank,Tiger,Mar,N,M,2005.0,45.0
584,Boating,new zealand,Fishing from a kayak,White,Jan,N,M,2005.0,39.0
585,Unprovoked,australia,Scurfing (surfboard being  towed behind a boat),White,Dec,Y,M,2004.0,18.0
586,Unprovoked,australia,Spearfishing,Bull,Dec,Y,M,2004.0,38.0
587,Unprovoked,south africa,Surfing,Unspecified,Nov,N,M,2004.0,20.0
588,Unprovoked,south africa,Swimming,White,Nov,Y,F,2004.0,25.0
589,Unprovoked,usa,Surfing,White,Nov,N,F,2004.0,38.0
590,Unprovoked,cuba,Diving,Bull,Oct,N,M,2004.0,40.0
591,Unprovoked,south africa,Chumming for white sharks,White,Oct,N,M,2004.0,52.0
592,Unprovoked,australia,Surfing,Unspecified,Oct,N,M,2004.0,59.0
593,Unprovoked,usa,Spearfishing,Tiger,Oct,N,M,2004.0,34.0
594,Unprovoked,south africa,Surfing,Unspecified,Oct,N,M,2004.0,34.0
595,Unprovoked,reunion,Body boarding,Tiger,Oct,N,M,2004.0,15.0
596,Unprovoked,usa,Surfing,White,Sep,N,M,2004.0,26.0
597,Unprovoked,usa,Jumping,Unspecified,Sep,N,F,2004.0,17.0
598,Unprovoked,brazil,Bathing,Tiger,Aug,N,M,2004.0,24.0
599,Unprovoked,usa,Diving,White,Aug,Y,M,2004.0,50.0
600,Unprovoked,usa,Swimming,Unspecified,Aug,N,M,2004.0,47.0
601,Unprovoked,usa,Swimming,Unspecified,Jul,N,F,2004.0,13.0
602,Unprovoked,usa,Swimming,Unspecified,Jul,N,F,2004.0,19.0
603,Unprovoked,usa,Wading / fishing & carrying a bag of fish,Bull,Jul,N,M,2004.0,11.0
604,Unprovoked,australia,Surfing,Unspecified,Jul,Y,M,2004.0,30.0
605,Unprovoked,usa,Wading,Unspecified,Jul,N,M,2004.0,7.0
606,Unprovoked,usa,Surfing,White,Jun,N,M,2004.0,45.0
607,Unprovoked,australia,Body boarding,Unspecified,Jun,N,M,2004.0,17.0
608,Unprovoked,usa,Swimming,Unspecified,Jun,N,M,2004.0,8.0
609,Unprovoked,south africa,"Swimming, poaching perlemoen",White,Jun,Y,M,2004.0,21.0
610,Unprovoked,usa,Wading,Unspecified,May,N,M,2004.0,16.0
611,Unprovoked,brazil,Swimming,Bull,May,N,M,2004.0,17.0
612,Unprovoked,usa,Surfing,Unspecified,May,N,M,2004.0,44.0
613,Provoked,bahamas,Free diving & spearfishing,Unspecified,May,N,M,2004.0,63.0
614,Unprovoked,usa,Tandem surfing,Unspecified,May,N,M,2004.0,28.0
615,Unprovoked,usa,Surfing,Tiger,Apr,Y,M,2004.0,57.0
616,Unprovoked,south africa,Surfing,White,Apr,N,M,2004.0,16.0
617,Unprovoked,usa,Surfing,Bull,Mar,N,M,2004.0,20.0
618,Unprovoked,brazil,Body boarding,Bull,Mar,N,M,2004.0,22.0
619,Unprovoked,reunion,Surfing,Unspecified,Mar,N,M,2004.0,20.0
620,Unprovoked,usa,Surfing,Tiger,Mar,N,M,2004.0,51.0
621,Unprovoked,new zealand,Surfing,Unspecified,Feb,N,M,2004.0,15.0
622,Invalid,australia,Free diving & spearfishing,Unspecified,Feb,,M,2004.0,31.0
623,Unprovoked,australia,Scuba diving,White,Jan,N,M,2004.0,46.0
624,Unprovoked,venezuela,Spearfishing,Bull,Jan,N,M,2004.0,40.0
625,Unprovoked,south africa,Spearfishing,Tiger,Nov,Y,M,2003.0,21.0
626,Unprovoked,usa,Surfing,Unspecified,Nov,N,F,2003.0,35.0
627,Unprovoked,usa,Surfing,Unspecified,Oct,N,M,2003.0,18.0
628,Unprovoked,australia,Surfing,Grey,Oct,N,M,2003.0,22.0
629,Unprovoked,usa,Surfing,Tiger,Oct,N,F,2003.0,13.0
630,Invalid,usa,Snorkeling,Unspecified,Oct,,M,2003.0,56.0
631,Unprovoked,usa,Surfing,Unspecified,Oct,N,M,2003.0,19.0
632,Unprovoked,usa,Wading near a fishing net,Grey,Oct,N,F,2003.0,41.0
633,Unprovoked,usa,Surfing,Unspecified,Sep,N,M,2003.0,30.0
634,Invalid,usa,Swimming,Unspecified,Sep,,F,2003.0,8.0
635,Unprovoked,usa,Body boarding,Unspecified,Sep,N,M,2003.0,18.0
636,Unprovoked,usa,"Standing, stepped on shark",Unspecified,Sep,N,M,2003.0,15.0
637,Unprovoked,south africa,Body boarding,White,Sep,Y,M,2003.0,19.0
638,Unprovoked,usa,"Swimming, wearing black wetsuit & swim fins",White,Aug,Y,F,2003.0,50.0
639,Invalid,usa,Swimming,Unspecified,Aug,,M,2003.0,31.0
640,Unprovoked,south africa,Sitting on surfboard,White,Aug,N,M,2003.0,16.0
641,Unprovoked,bahamas,Spearfishing,Unspecified,Jul,N,M,2003.0,58.0
642,Provoked,usa,"Walking, carrying surfboard & stepped on shark",Unspecified,Jul,N,M,2003.0,10.0
643,Unprovoked,bahamas,Spearfishing,Bull,Jul,N,M,2003.0,39.0
644,Unprovoked,usa,Surfing,Unspecified,Jun,N,M,2003.0,17.0
645,Unprovoked,usa,Surfing,Unspecified,Jun,N,M,2003.0,15.0
646,Unprovoked,usa,Standing,Unspecified,Jun,N,F,2003.0,12.0
647,Unprovoked,usa,Swimming with pod of dolphins,Unspecified,Jun,N,M,2003.0,60.0
648,Unprovoked,usa,Surfing ,Unspecified,Jun,N,M,2003.0,33.0
649,Unprovoked,usa,Wading,Unspecified,May,N,M,2003.0,22.0
650,Unprovoked,usa,Swimming,Grey,May,N,M,2003.0,20.0
651,Provoked,usa,Surfing,Unspecified,May,N,M,2003.0,34.0
652,Unprovoked,brazil,Surfing,Bull,Apr,N,M,2003.0,17.0
653,Unprovoked,usa,Surfing,Unspecified,Apr,N,M,2003.0,36.0
654,Unprovoked,usa,Surfing,Unspecified,Apr,N,M,2003.0,17.0
655,Unprovoked,usa,Surfing,Unspecified,Apr,N,M,2003.0,30.0
656,Unprovoked,usa,Surfing,Unspecified,Apr,N,M,2003.0,23.0
657,Unprovoked,usa,Surfing,Unspecified,Apr,N,M,2003.0,18.0
658,Unprovoked,usa,Jumping,Unspecified,Apr,N,M,2003.0,11.0
659,Unprovoked,usa,Surfing,Unspecified,Apr,N,M,2003.0,12.0
660,Unprovoked,usa,Swimming (using a float),Unspecified,Apr,N,M,2003.0,20.0
661,Unprovoked,venezuela,Surfing,Unspecified,Apr,N,M,2003.0,28.0
662,Unprovoked,usa,Surfing,Unspecified,Apr,N,M,2003.0,50.0
663,Unprovoked,new zealand,Scuba diving,White,Feb,N,M,2003.0,44.0
664,Unprovoked,australia,Wading,Unspecified,Feb,N,M,2003.0,37.0
665,Unprovoked,usa,Swimming,Unspecified,Feb,N,M,2003.0,54.0
666,Unprovoked,australia,Swimming,Grey,Feb,N,M,2003.0,24.0
667,Unprovoked,australia,Swimming,Bull,Feb,Y,M,2003.0,25.0
668,Invalid,south africa,Unknown,Unspecified,Jan,,M,2003.0,14.0
669,Unprovoked,south africa,Snorkeling,White,Dec,N,M,2002.0,25.0
670,Unprovoked,australia,Swimming,Bull,Dec,Y,M,2002.0,23.0
671,Unprovoked,usa,Body boarding,White,Nov,N,M,2002.0,48.0
672,Unprovoked,usa,Swimming,Grey,Nov,N,F,2002.0,34.0
673,Unprovoked,turks & caicos,Snorkeling,Unspecified,Nov,N,F,2002.0,41.0
674,Unprovoked,usa,Surfing,Unspecified,Nov,N,M,2002.0,21.0
675,Unprovoked,usa,Boogie boarding,Unspecified,Nov,N,M,2002.0,16.0
676,Unprovoked,usa,Swimming,Unspecified,Oct,N,F,2002.0,60.0
677,Unprovoked,brazil,Swimming,Tiger,Oct,Y,M,2002.0,36.0
678,Unprovoked,usa,Surfing,Unspecified,Oct,N,M,2002.0,14.0
679,Unprovoked,usa,Surfing,Unspecified,Oct,N,M,2002.0,35.0
680,Unprovoked,usa,Surfing,Unspecified,Oct,N,M,2002.0,18.0
681,Unprovoked,usa,Surfing,Unspecified,Sep,N,M,2002.0,47.0
682,Unprovoked,usa,Fishing from Surfboard,Unspecified,Sep,N,M,2002.0,55.0
683,Provoked,usa,Fishing,Unspecified,Sep,N,M,2002.0,27.87309980171844
684,Provoked,tonga,Swimming,Tiger,Sep,N,M,2002.0,27.87309980171844
685,Unprovoked,usa,Boogie boarding or Surfing,Unspecified,Sep,N,M,2002.0,24.0
686,Unprovoked,usa,Surfing,Unspecified,Sep,N,M,2002.0,35.0
687,Unprovoked,brazil,Swimming,Tiger,Sep,N,M,2002.0,19.0
688,Unprovoked,south africa,Surf skiing,White,Sep,N,M,2002.0,47.0
689,Unprovoked,usa,Boogie boarding,Unspecified,Sep,N,M,2002.0,20.0
690,Provoked,usa,"Wading, when he stepped on the shark",Unspecified,Sep,N,M,2002.0,36.0
691,Unprovoked,usa,Surfing,Tiger,Aug,N,M,2002.0,16.0
692,Unprovoked,usa,Surfing,Unspecified,Aug,N,M,2002.0,27.0
693,Unprovoked,usa,Surfing,Unspecified,Aug,N,M,2002.0,15.0
694,Unprovoked,usa,Standing,Unspecified,Aug,N,M,2002.0,14.0
695,Unprovoked,usa,Surfing,Unspecified,Jul,N,M,2002.0,13.0
696,Unprovoked,usa,Swimming,Bull,Jul,N,F,2002.0,15.0
697,Provoked,usa,Shark Fishing,Unspecified,Jul,Y,M,2002.0,41.0
698,Unprovoked,brazil,Surfing,Tiger,Jul,N,M,2002.0,22.0
699,Unprovoked,usa,Standing,Bull,Jul,N,F,2002.0,9.0
700,Unprovoked,usa,Surfing,Unspecified,Jun,N,M,2002.0,28.0
