,year,type,country,activity,age,species,month,fatal,gender
694,2002,Unprovoked,usa,Surfing,15,"Nurse shark, 1.5 m [5'] ",Aug,N,M
695,2002,Unprovoked,usa,Standing,14,1.2 m to 1.5 m [4' to 5'] shark,Aug,N,M
696,2002,Unprovoked,usa,Surfing,13,1.2 m [4'] blacktip or sandbar shark,Jul,N,M
697,2002,Unprovoked,usa,Swimming,15,"Bull shark, 1.8 m to 2.1 m [6' to 7'] ",Jul,N,F
698,2002,Provoked,usa,Shark Fishing,41,"Mako shark, 400-lb ",Jul,Y,M
699,2002,Unprovoked,brazil,Surfing,22,Bull or tiger shark,Jul,N,M
700,2002,Unprovoked,usa,Standing,9,"1.2 m to 1.5 m [4' to 5'] shark, possibly a bull shark",Jul,N,F
701,2002,Unprovoked,usa,Surfing,28,0.9 m to 1.2 m [3' to 4'] shark; Tooth fragment recovered from hand,Jun,N,M
702,2002,Unprovoked,usa,Surfing,50,  ,Jun,N,M
703,2002,Unprovoked,south africa,Snorkeling (filming the sardine run),50,1.5 to 2.5 m [5' to 8.25'] copper shark,Jun,N,M
704,2002,Unprovoked,usa,Surfing,24,3.7 m to 4.3 m [12' to 14'] white shark,May,N,M
705,2002,Unprovoked,usa,Floating on a raft,16,1 m  shark,May,N,M
706,2002,Provoked,usa,"Fishing, removing the shark from his line",55,3' blacktip shark,May,N,M
707,2002,Unprovoked,australia,Scallop diving (using surface-supplied air & a POD) ,23,"White shark, 6m [20']",Apr,Y,M
708,2002,Unprovoked,usa,"Surfing, but standing in water alongside board",34,1.2 m [4'] shark,Apr,N,M
709,2002,Unprovoked,bahamas,Standing,43,"Bull shark, 400-lb ",Apr,N,M
710,2002,Unprovoked,usa,Wading,41,3'  shark,Apr,N,M
711,2002,Unprovoked,usa,Swimming / Wading,29,0.9 m [3'] shark,Apr,N,M
712,2002,Unprovoked,usa,Body-boarding,17,Tiger shark,Mar,N,M
713,2002,Unprovoked,usa,Wading,11,  ,Mar,N,F
714,2002,Unprovoked,usa,Swimming /  boogie boarding,20,4' shark,Mar,N,M
715,2002,Unprovoked,usa,Snorkeling,39,"Nurse shark, 1m ",Mar,N,M
716,2002,Unprovoked,usa,Surfing,31,"Spinner shark, 3' to 4' ",Mar,N,M
