,year,type,country,activity,age,species,month,fatal,gender,id_country
265,2006,Unprovoked,usa,Scuba diving,30.0,Tiger,May,N,F,0
266,2006,Provoked,usa,Fishing,35.0,Bull,Apr,N,M,0
267,2006,Unprovoked,usa,Surfing,28.0,Tiger,Mar,N,F,0
268,2006,Unprovoked,usa,Standing,15.0,Unspecified,Feb,N,F,0
269,2006,Invalid,usa,Free diving,45.0,Unspecified,Feb,Unknown,M,0
270,2006,Boating,usa,Kayaking,57.0,Unspecified,Feb,N,M,0
271,2006,Unprovoked,usa,Surfing,21.0,Unspecified,Jan,N,M,0
272,2005,Unprovoked,usa,Surfing,30.0,White,Dec,N,M,0
273,2005,Unprovoked,usa,Swimming,29.0,Tiger,Dec,N,M,0
274,2005,Unprovoked,usa,Surfing,23.0,Unspecified,Nov,N,M,0
275,2005,Unprovoked,usa,Surfing,30.0,Unspecified,Nov,N,M,0
276,2005,Unprovoked,usa,Surfing,18.0,Unspecified,Nov,N,M,0
277,2005,Unprovoked,usa,Surfing,26.0,White,Nov,N,M,0
278,2005,Unprovoked,usa,Surfing,36.0,White,Oct,N,M,0
279,2005,Unprovoked,usa,Surfing,20.0,White,Oct,N,F,0
280,2005,Unprovoked,usa,Surfing,22.0,Tiger,Oct,N,M,0
281,2005,Unprovoked,usa,Body surfing,25.0,Unspecified,Sep,N,F,0
282,2005,Unprovoked,usa,Wading,18.0,Bull,Sep,N,F,0
283,2005,Unprovoked,usa,Surfing,37.0,White,Aug,N,M,0
284,2005,Invalid,usa,"Boogie boarding, kicked at object in the water",17.0,Unspecified,Aug,Unknown,M,0
285,2005,Unprovoked,usa,Swimming,8.0,Unspecified,Aug,N,M,0
286,2005,Unprovoked,usa,Surfing,16.0,Unspecified,Aug,N,M,0
287,2005,Invalid,usa,Surfing,25.0,Unspecified,Jul,Unknown,M,0
288,2005,Unprovoked,usa,Swimming,22.0,Unspecified,Jul,N,M,0
289,2005,Unprovoked,usa,Holding onto an inflatable boat,14.0,Unspecified,Jul,N,F,0
290,2005,Unprovoked,usa,Fishing,16.0,Bull,Jun,N,M,0
291,2005,Unprovoked,usa,Swimming with boogie board,14.0,Bull,Jun,Y,F,0
292,2005,Invalid,usa,Swimming,49.0,Unspecified,Jun,Unknown,M,0
293,2005,Unprovoked,usa,Swimming,20.0,Unspecified,Jun,N,M,0
294,2005,Invalid,usa,Surfing,17.0,White,Jun,Unknown,M,0
295,2005,Unprovoked,usa,Swimming,33.0,Unspecified,May,N,M,0
296,2005,Unprovoked,usa,Surfing,47.0,Tiger,May,N,M,0
297,2005,Provoked,usa,Diving in aquarium display tank,45.0,Tiger,Mar,N,M,0
298,2004,Unprovoked,usa,Surfing,38.0,White,Nov,N,F,0
299,2004,Unprovoked,usa,Spearfishing,34.0,Tiger,Oct,N,M,0
300,2004,Unprovoked,usa,Surfing,26.0,White,Sep,N,M,0
301,2004,Unprovoked,usa,Jumping,17.0,Unspecified,Sep,N,F,0
302,2004,Unprovoked,usa,Diving,50.0,White,Aug,Y,M,0
303,2004,Unprovoked,usa,Swimming,47.0,Unspecified,Aug,N,M,0
304,2004,Unprovoked,usa,Swimming,13.0,Unspecified,Jul,N,F,0
305,2004,Unprovoked,usa,Swimming,19.0,Unspecified,Jul,N,F,0
306,2004,Unprovoked,usa,Wading / fishing & carrying a bag of fish,11.0,Bull,Jul,N,M,0
307,2004,Unprovoked,usa,Wading,7.0,Unspecified,Jul,N,M,0
308,2004,Unprovoked,usa,Surfing,45.0,White,Jun,N,M,0
309,2004,Unprovoked,usa,Swimming,8.0,Unspecified,Jun,N,M,0
310,2004,Unprovoked,usa,Wading,16.0,Unspecified,May,N,M,0
311,2004,Unprovoked,usa,Surfing,44.0,Unspecified,May,N,M,0
312,2004,Unprovoked,usa,Tandem surfing,28.0,Unspecified,May,N,M,0
313,2004,Unprovoked,usa,Surfing,57.0,Tiger,Apr,Y,M,0
314,2004,Unprovoked,usa,Surfing,20.0,Bull,Mar,N,M,0
315,2004,Unprovoked,usa,Surfing,51.0,Tiger,Mar,N,M,0
316,2003,Unprovoked,usa,Surfing,35.0,Unspecified,Nov,N,F,0
317,2003,Unprovoked,usa,Surfing,18.0,Unspecified,Oct,N,M,0
318,2003,Unprovoked,usa,Surfing,13.0,Tiger,Oct,N,F,0
319,2003,Invalid,usa,Snorkeling,56.0,Unspecified,Oct,Unknown,M,0
320,2003,Unprovoked,usa,Surfing,19.0,Unspecified,Oct,N,M,0
321,2003,Unprovoked,usa,Wading near a fishing net,41.0,Grey,Oct,N,F,0
322,2003,Unprovoked,usa,Surfing,30.0,Unspecified,Sep,N,M,0
323,2003,Invalid,usa,Swimming,8.0,Unspecified,Sep,Unknown,F,0
324,2003,Unprovoked,usa,Body boarding,18.0,Unspecified,Sep,N,M,0
325,2003,Unprovoked,usa,"Standing, stepped on shark",15.0,Unspecified,Sep,N,M,0
326,2003,Unprovoked,usa,"Swimming, wearing black wetsuit & swim fins",50.0,White,Aug,Y,F,0
327,2003,Invalid,usa,Swimming,31.0,Unspecified,Aug,Unknown,M,0
328,2003,Provoked,usa,"Walking, carrying surfboard & stepped on shark",10.0,Unspecified,Jul,N,M,0
329,2003,Unprovoked,usa,Surfing,17.0,Unspecified,Jun,N,M,0
330,2003,Unprovoked,usa,Surfing,15.0,Unspecified,Jun,N,M,0
331,2003,Unprovoked,usa,Standing,12.0,Unspecified,Jun,N,F,0
332,2003,Unprovoked,usa,Swimming with pod of dolphins,60.0,Unspecified,Jun,N,M,0
333,2003,Unprovoked,usa,Surfing ,33.0,Unspecified,Jun,N,M,0
334,2003,Unprovoked,usa,Wading,22.0,Unspecified,May,N,M,0
335,2003,Unprovoked,usa,Swimming,20.0,Grey,May,N,M,0
336,2003,Provoked,usa,Surfing,34.0,Unspecified,May,N,M,0
337,2003,Unprovoked,usa,Surfing,36.0,Unspecified,Apr,N,M,0
338,2003,Unprovoked,usa,Surfing,17.0,Unspecified,Apr,N,M,0
339,2003,Unprovoked,usa,Surfing,30.0,Unspecified,Apr,N,M,0
340,2003,Unprovoked,usa,Surfing,23.0,Unspecified,Apr,N,M,0
341,2003,Unprovoked,usa,Surfing,18.0,Unspecified,Apr,N,M,0
342,2003,Unprovoked,usa,Jumping,11.0,Unspecified,Apr,N,M,0
343,2003,Unprovoked,usa,Surfing,12.0,Unspecified,Apr,N,M,0
344,2003,Unprovoked,usa,Swimming (using a float),20.0,Unspecified,Apr,N,M,0
345,2003,Unprovoked,usa,Surfing,50.0,Unspecified,Apr,N,M,0
346,2003,Unprovoked,usa,Swimming,54.0,Unspecified,Feb,N,M,0
347,2002,Unprovoked,usa,Body boarding,48.0,White,Nov,N,M,0
348,2002,Unprovoked,usa,Swimming,34.0,Grey,Nov,N,F,0
